host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,,NumberOfVerfication,govermentIdentification,,numberofamentities
7783596,59,116,2,0,2662,t,0,1,1,t,0,t,0,2,1,1,1,1,0,0,0,86,f,1,5,no,0,36
67327000,60,6,1,0,1670,f,1,1,1,t,0,t,0,1,1,1,1,1,0,0,0,0,f,1,5,no,0,20
39306682,60,63,3,0,1937,t,0,3,3,t,0,f,1,2,1,1,1,1,0,0,0,16,f,1,5,yes,1,40
145360342,60,0,1,0,1188,f,1,1,1,t,0,f,1,2,2,2,1,1.666666667,0,0,0,0,t,0,7,yes,1,14
3720415,61,60,1,245,2963,t,0,1,1,t,0,t,0,2,1,1,1,1,21,51,81,18,t,0,5,no,0,28
206054087,65,5,2,0,834,t,0,2,2,t,0,f,1,1,1,1,1,1,0,0,0,1,f,1,2,no,0,35
178795979,65,0,2,87,970,f,1,0,0,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,2,no,0,18
178795979,65,1,2,100,970,f,1,0,0,t,0,f,1,2,1,1,1,1,0,0,0,1,f,1,2,no,0,30
29286002,67,145,1,0,2069,t,0,1,1,t,0,f,1,2,1,1,1,1,0,0,0,34,f,1,8,yes,1,26
105793,69,9,1,175,3868,f,1,1,1,t,0,t,0,2,1,1,1,1,25,55,85,0,f,1,7,no,0,31
10824022,70,51,6,0,2511,t,0,5,5,t,0,f,1,2,1,1,1,1,0,0,0,0,t,0,3,no,0,14
169117156,72,62,2,160,1024,t,0,2,2,t,0,f,1,2,1,1,1,1,10,40,70,11,f,1,2,no,0,28
26350438,74,71,1,0,2122,t,0,1,1,t,0,f,1,2,1,1,1,1,0,0,0,33,t,0,7,yes,1,28
10824022,75,64,6,0,2511,t,0,5,5,t,0,f,1,2,1,1,1,1,0,0,0,2,t,0,3,no,0,31
169117156,77,125,2,0,1024,t,0,2,2,t,0,f,1,4,1,2,2,1.666666667,0,0,0,16,f,1,2,no,0,27
6156189,79,11,1,0,2751,f,1,1,1,t,0,t,0,4,1,1,2,1.333333333,0,0,0,0,f,1,7,no,0,32
40437709,80,10,1,90,1926,f,1,1,1,t,0,t,0,2,1,1,1,1,30,60,90,3,f,1,5,no,0,42
13270244,80,11,1,2,2429,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,4,no,0,30
39306682,80,43,3,0,1937,t,0,3,3,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,5,yes,1,40
280805146,85,0,1,90,469,f,1,0,0,t,0,f,1,2,1,1,1,1,30,60,90,0,t,0,2,no,0,16
223720057,110,4,1,0,740,f,1,1,1,t,0,f,1,2,1,0,1,0.666666667,0,0,0,0,f,1,4,yes,1,24
24733452,120,11,1,331,2161,f,1,2,2,t,0,f,1,2,1,1,1,1,6,26,56,0,t,0,5,yes,1,35
76386143,125,0,1,0,1617,f,1,1,1,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,2,no,0,13
193560886,125,38,1,0,890,f,1,1,1,t,0,f,1,3,1,1,1,1,0,0,0,9,t,0,6,yes,1,20
42427277,130,0,1,0,1905,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,5,no,0,16
22681513,150,0,1,89,2215,f,1,1,1,t,0,f,1,2,1,1,1,1,30,60,89,0,f,1,4,no,0,16
108169205,150,3,1,0,1419,f,1,2,2,t,0,f,1,2,1,1,1,1,0,0,0,0,t,0,8,yes,1,14
201474785,150,7,1,0,853,f,1,1,1,t,0,f,1,4,1,2,3,2,0,0,0,1,t,0,2,no,0,13
49282351,150,3,1,0,1820,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,t,0,7,yes,1,16
4504615,160,52,1,268,2875,t,0,1,1,t,0,f,1,4,2,3,3,2.666666667,29,59,89,7,f,1,5,no,0,29
119508792,170,4,3,0,1345,f,1,4,4,t,0,f,1,4,1,2,2,1.666666667,0,0,0,1,f,1,6,yes,1,37
