host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
4385954,150,8,1,0,2892,f,1,1,t,1,t,5,1,2,2,1.666666667,0,0,0,0,f,6,yes,19
99489409,150,5,1,0,1491,f,1,1,t,1,t,5,2,2,4,2.666666667,0,0,0,0,f,5,no,17
5604731,150,52,1,78,2790,t,1,1,t,1,f,8,2,2,3,2.333333333,11,41,71,17,f,8,yes,42
8534462,150,0,109,0,2631,f,1081,1081,t,1,t,2,1,1,1,1,0,0,0,0,t,9,yes,0
28685475,150,0,2,263,2081,f,1,1,t,1,f,4,15,2,2,6.333333333,0,0,0,0,t,3,no,9
5062900,151,18,2,273,2830,f,2,2,t,1,t,5,1,3,3,2.333333333,0,26,56,0,f,4,no,32
264302173,153,23,2,232,536,t,3,3,t,1,f,8,2,4,7,4.333333333,7,22,52,23,t,6,yes,38
228618394,159,0,12,89,712,t,12,12,t,1,f,5,1,1,1,1,29,59,89,0,f,5,yes,32
45044564,160,96,2,280,1875,f,2,2,t,1,f,6,1,3,4,2.666666667,0,0,5,11,f,6,yes,30
90081423,160,62,1,22,1550,t,1,1,t,1,t,4,15,2,4,7,0,0,0,5,f,4,no,22
11152294,160,6,1,0,2499,f,1,1,t,1,t,4,1,2,2,1.666666667,0,0,0,0,t,5,no,28
246612164,160,8,2,0,620,t,1,1,t,1,f,7,2,3,5,3.333333333,0,0,0,8,f,4,yes,29
80130087,164,0,1,0,1600,f,1,1,t,1,f,6,15,2,3,6.666666667,0,0,0,0,t,3,no,18
16396099,165,27,3,87,2353,f,3,3,t,1,f,4,1,1,2,1.333333333,27,57,87,0,f,5,no,38
8534462,165,0,109,0,2631,f,1081,1081,t,1,t,2,1,1,1,1,0,0,0,0,t,9,yes,25
12728646,169,149,1,118,2447,t,1,1,t,1,f,6,1,2,3,2,11,27,57,5,f,6,yes,44
28006142,169,44,1,343,2093,t,1,1,t,1,f,5,1,2,2,1.666666667,17,44,74,13,t,3,no,55
51679438,169,16,1,54,1791,t,1,1,t,1,f,3,1,0,1,0.666666667,0,24,54,16,f,7,yes,33
130954997,170,1,22,365,1274,f,21,21,t,1,f,2,1,1,1,1,30,60,90,0,f,4,no,46
130954997,170,0,22,365,1274,f,21,21,t,1,f,3,1,1,1,1,30,60,90,0,f,4,no,42
8336938,174,69,34,359,2638,t,40,40,t,1,f,4,1,1,2,1.333333333,30,60,90,11,t,8,yes,37
17984137,175,12,1,0,2316,f,1,1,t,1,t,4,1,1,2,1.333333333,0,0,0,0,f,4,no,18
8534462,175,3,109,0,2631,f,1081,1081,t,1,t,2,1,1,1,1,0,0,0,0,t,9,yes,0
8534462,175,0,109,0,2631,f,1081,1081,t,1,t,2,1,1,1,1,0,0,0,0,t,9,yes,0
5671771,175,63,4,49,2786,t,7,7,t,1,f,4,1,1,2,1.333333333,0,19,49,47,t,9,yes,41
8534462,175,0,109,0,2631,f,1081,1081,t,1,t,2,1,1,1,1,0,0,0,0,t,9,yes,0
125444529,178,65,16,251,1311,t,21,21,t,1,t,4,1,1,2,1.333333333,11,41,71,55,t,9,yes,41
125444529,178,53,16,204,1311,t,21,21,t,1,t,4,1,1,2,1.333333333,0,9,24,41,t,9,yes,40
21744110,180,2,2,63,2241,f,4,4,t,1,t,8,2,3,3,2.666666667,3,33,63,0,f,6,yes,25
8534462,189,2,109,0,2631,f,1081,1081,t,1,t,2,1,1,1,1,0,0,0,0,t,9,yes,0
8534462,189,1,109,0,2631,f,1081,1081,t,1,t,2,1,1,1,1,0,0,0,0,t,9,yes,0
8534462,189,2,109,0,2631,f,1081,1081,t,1,t,2,1,1,1,1,0,0,0,0,t,9,yes,0
138054790,190,23,1,254,1230,t,1,1,t,1,f,5,1,2,3,2,10,17,27,7,f,6,yes,44
14930271,192,195,1,333,2388,f,1,1,t,1,t,10,2,4,6,4,17,41,69,23,f,4,no,41
11457676,195,52,1,179,2489,t,1,1,t,1,f,5,2,2,3,2.333333333,0,20,50,5,t,3,no,48
9624153,195,0,41,340,2575,f,44,44,t,1,t,3,1,1,2,1.333333333,15,38,68,0,f,6,yes,18
38578330,198,7,1,130,1947,f,0,0,t,1,f,9,2,5,5,4,9,25,46,7,t,3,no,18
17970139,199,0,1,0,2316,f,1,1,t,1,f,2,1,0,2,1,0,0,0,0,f,2,no,9
461037,2255,0,2,363,3521,f,102,102,t,1,t,14,8,6,6,6.666666667,28,58,88,0,f,5,no,14
19909298,200,9,1,0,2284,f,1,1,t,1,t,2,1,1,1,1,0,0,0,0,t,6,no,23
33041470,200,43,1,22,2013,f,1,1,t,1,t,6,2,2,2,2,0,0,0,27,t,8,yes,34
20232605,200,3,4,56,2278,f,4,4,t,1,t,4,25,2,2,9.666666667,0,0,0,0,f,7,yes,28
54625493,200,5,1,0,1764,f,1,1,t,1,f,2,1,0,1,0.666666667,0,0,0,0,t,4,yes,20
121759287,200,2,1,0,1333,f,1,1,t,1,f,4,1,2,2,1.666666667,0,0,0,0,t,2,no,29
47354827,200,206,3,154,1846,t,3,3,t,1,t,3,1,0,2,1,9,34,64,82,t,9,yes,35
2635847,200,35,2,356,3073,f,2,2,t,1,f,4,1,1,2,1.333333333,21,51,81,23,f,4,no,39
22935970,200,5,1,0,2211,t,1,1,t,1,f,4,2,2,2,2,0,0,0,4,t,8,yes,30
10042227,200,0,2,360,2554,t,2,2,t,1,f,2,1,1,1,1,25,55,85,0,f,8,no,33
102094402,219,14,1,98,1472,t,0,0,t,1,t,6,1,2,2,1.666666667,0,0,0,14,f,6,yes,47
21767797,220,14,2,0,2240,t,2,2,t,1,f,4,1,2,2,1.666666667,0,0,0,0,f,9,yes,42
266573082,240,1,1,0,526,f,1,1,t,1,f,5,2,2,2,2,0,0,0,0,f,1,no,26
1393050,240,0,1,30,3290,t,11,11,t,1,t,4,1,2,1,1.333333333,4,6,30,0,f,6,yes,21
23386991,241,71,1,255,2199,t,1,1,t,1,t,6,2,2,3,2.333333333,5,16,46,4,f,4,no,47
43349223,249,79,34,153,1896,t,14,14,t,1,t,12,3,4,7,4.666666667,25,55,85,42,t,7,yes,45
2297747,250,11,1,0,3113,f,1,1,t,1,t,4,2,3,3,2.666666667,0,0,0,0,f,4,no,32
11852780,250,3,1,0,2476,f,0,0,t,1,f,9,2,3,3,2.666666667,0,0,0,0,f,8,yes,24
132099028,250,9,1,23,1266,t,1,1,t,1,f,4,1,2,2,1.666666667,8,23,23,4,f,3,no,28
18652454,250,35,1,0,2305,f,1,1,t,1,f,8,25,3,5,11,0,0,0,24,t,8,yes,41
185196685,250,0,1,0,938,f,0,0,t,1,f,5,1,,2,1.5,0,0,0,0,f,2,no,18
351029966,254,3,1,48,145,f,0,0,t,1,f,8,3,4,4,3.666666667,23,43,48,3,t,2,no,26
21266463,259,29,2,0,2253,t,2,2,t,1,t,6,2,3,4,3,0,0,0,7,f,5,no,57
43349223,275,5,34,206,1896,t,14,14,t,1,t,12,2,3,7,4,19,49,79,5,t,7,yes,44
17850692,299,109,7,0,2318,t,7,7,t,1,t,9,2,2,4,2.666666667,0,0,0,7,t,6,yes,39
71140380,299,1,1,0,1648,f,1,1,t,1,f,4,1,0,2,1,0,0,0,0,f,6,yes,22
3579436,300,0,1,0,2980,f,1,1,t,1,t,3,1,1,1,1,0,0,0,0,f,4,no,11
77112649,300,2,2,0,1615,f,2,2,t,1,t,6,2,2,3,2.333333333,0,0,0,0,f,6,no,35
140635970,300,0,1,0,1216,f,1,1,t,1,f,4,1,2,2,1.666666667,0,0,0,0,t,4,yes,7
21402506,300,7,1,0,2249,f,1,1,t,1,t,7,2,3,3,2.666666667,0,0,0,3,f,4,no,35
241464302,300,4,1,0,645,f,1,1,t,1,f,8,2,3,5,3.333333333,0,0,0,4,t,2,no,22
340445453,300,1,2,26,252,f,0,0,t,1,f,12,2,2,4,2.666666667,0,20,26,1,t,6,yes,28
340445453,300,1,2,144,252,f,0,0,t,1,f,12,2,2,4,2.666666667,0,24,54,1,t,6,yes,24
168372355,308,201,3,355,1030,f,3,3,t,1,f,4,1,0,3,1.333333333,20,50,80,78,t,2,no,24
2920241,325,47,3,36,3045,f,2,2,t,1,t,4,1,2,3,2,0,6,36,29,f,6,no,35
4121094,325,1,1,0,2923,f,1,1,t,1,t,6,1,1,2,1.333333333,0,0,0,0,f,4,no,11
23660741,340,11,2,356,2192,f,2,2,t,1,f,7,2,3,4,3,29,59,89,4,f,2,no,41
1151858,35,148,3,61,3348,t,3,3,t,1,t,2,1,0,1,0.666666667,7,31,61,67,f,9,yes,27
25912890,350,0,1,0,2133,f,1,1,t,1,t,4,1,2,1,1.333333333,0,0,0,0,f,8,yes,13
89029296,350,44,1,0,1556,f,1,1,t,1,f,7,25,4,5,11.33333333,0,0,0,0,f,3,no,22
2920241,350,18,3,340,3045,f,2,2,t,1,t,2,1,0,1,0.666666667,5,35,65,18,f,6,no,28
126644161,363,16,41,319,1303,f,306,306,t,1,f,7,2,2,4,2.666666667,8,22,48,9,t,9,yes,27
125750345,37,1,1,0,1309,f,1,1,t,1,f,2,2,2,2,2,0,0,0,0,t,6,yes,20
43918361,375,0,1,0,1889,f,1,1,t,1,t,4,1,2,2,1.666666667,0,0,0,0,t,4,no,24
4392070,375,1,4,3,2892,f,4,4,f,0,t,10,3,3,7,4.333333333,0,0,3,1,f,7,yes,21
27193907,380,1,2,0,2108,t,2,2,t,1,f,6,2,3,3,2.666666667,0,0,0,0,t,7,yes,17
2920241,399,8,3,0,3045,f,2,2,t,1,t,4,1,2,3,2,0,0,0,5,f,6,no,41
191135924,399,5,4,84,904,t,3,3,t,1,f,10,2,3,5,3.333333333,24,54,84,5,f,3,no,49
23452545,400,13,1,0,2197,f,1,1,t,1,t,8,2,4,5,3.666666667,0,0,0,0,f,6,no,20
9429645,420,1,1,0,2586,f,1,1,t,1,t,6,15,2,3,6.666666667,0,0,0,0,f,7,yes,21
48206161,420,0,2,102,1835,t,15,15,t,1,f,2,1,1,1,1,0,16,34,0,f,5,no,33
861297,440,48,3,351,3399,f,9,9,t,1,t,16,4,4,8,5.333333333,20,50,80,4,f,4,no,22
44398920,450,0,1,365,1883,f,1,1,t,1,t,2,1,1,1,1,30,60,90,0,t,5,no,10
5053524,468,65,1,347,2831,f,3,3,t,1,t,12,2,3,7,4,17,47,77,12,t,9,yes,42
168372355,495,154,3,361,1030,f,3,3,t,1,f,6,2,2,2,2,26,56,86,50,t,2,no,31
168372355,495,179,3,355,1030,f,3,3,t,1,f,7,1,2,3,2,25,55,85,73,t,2,no,32
228287030,500,56,3,40,714,t,3,3,t,1,f,6,1,1,2,1.333333333,6,11,40,43,t,2,no,29
